Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000259677	AC027176.2	Arginine/serine-rich coiled-coil protein (RSRC2) pseudogene	processed pseudogene	Chromosome 15: 89876540-89877285forward strand	
ENSG00000164116	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 	protein coding	Chromosome 4: 155666726-155737059forward strand	
ENSG00000273305	AC009237.15	novel transcript	lncRNA	Chromosome 2: 95537969-95538469forward strand	
ENSG00000138669	PRKG2	protein kinase cGMP-dependent 2 	protein coding	Chromosome 4: 81087370-81215117reverse strand	
ENSG00000250927	MESTP3	mesoderm specific transcript pseudogene 3 	processed pseudogene	Chromosome 4: 28823244-28824211reverse strand	
ENSG00000174013	FBXO45	F-box protein 45 	protein coding	Chromosome 3: 196568611-196589059forward strand	
ENSG00000235110	AC107421.1	ribosomal protein S17 (RPS17) pseudogene	processed pseudogene	Chromosome 3: 143855739-143856142reverse strand	
ENSG00000277670	AC098657.3	"succinate-CoA ligase, ADP-forming, beta subunit (SUCLA2) pseudogene"	unprocessed pseudogene	Chromosome 1: 80124004-80124361forward strand	
ENSG00000227863	AC002383.1	novel transcript	lncRNA	Chromosome 7: 89443946-89496918forward strand	
ENSG00000196704	AMZ2	archaelysin family metallopeptidase 2 	protein coding	Chromosome 17: 68205481-68257712forward strand	
ENSG00000251332	PSME2P4	proteasome activator subunit 2 pseudogene 4 	processed pseudogene	Chromosome 4: 37995494-37996203reverse strand	
ENSG00000259235	AC066612.1	novel transcript	lncRNA	Chromosome 15: 48187121-48191691reverse strand	
ENSG00000258507	AC116612.1	"novel transcript, sense intronic to HMX1"	lncRNA	Chromosome 4: 8858715-8860827reverse strand	
ENSG00000178821	TMEM52	transmembrane protein 52 	protein coding	Chromosome 1: 1917590-1919279reverse strand	
ENSG00000244019	RPS2P24	ribosomal protein S2 pseudogene 24 	processed pseudogene	Chromosome 5: 77545397-77546266forward strand	
ENSG00000222054	RNA5SP177	"RNA, 5S ribosomal pseudogene 177 "	rRNA pseudogene	Chromosome 5: 9760907-9761013forward strand	
ENSG00000106069	CHN2	chimerin 2 	protein coding	Chromosome 7: 29146569-29514328forward strand	
ENSG00000243911	RN7SL430P	"RNA, 7SL, cytoplasmic 430, pseudogene "	misc RNA	Chromosome 9: 112272596-112272837reverse strand	
ENSG00000232301	LNCPRESS1	lncRNA p53 regulated and ESC associated 1 	lncRNA	Chromosome 7: 101299578-101301346forward strand	
ENSG00000267871	ZNF460-AS1	ZNF460 antisense RNA 1 	lncRNA	Chromosome 19: 57267211-57280334reverse strand	
ENSG00000227851	AC021035.1	novel transcript	lncRNA	Chromosome 10: 111349939-111352103reverse strand	
ENSG00000225715	PSMA1P1	PSMA1 pseudogene 1 	processed pseudogene	Chromosome X: 80709928-80710705forward strand	
ENSG00000271934	OR2AS2P	olfactory receptor family 2 subfamily AS member 2 pseudogene 	unprocessed pseudogene	Chromosome 1: 248498308-248498649forward strand	
ENSG00000271919	AC005828.7	density-regulated protein (DENR) pseudogene	transcribed processed pseudogene	Chromosome 17: 63331984-63332539reverse strand	
ENSG00000176928	GCNT4	glucosaminyl (N-acetyl) transferase 4 	protein coding	Chromosome 5: 75025346-75052558reverse strand	
ENSG00000233714	AC012506.3	novel transcript	lncRNA	Chromosome 2: 23347654-23351864forward strand	
ENSG00000129455	KLK8	kallikrein related peptidase 8 	protein coding	Chromosome 19: 50996007-51002711reverse strand	
ENSG00000253049	AC024060.1	-	snoRNA	Chromosome 3: 3102913-3103015forward strand	
ENSG00000240250	RN7SL541P	"RNA, 7SL, cytoplasmic 541, pseudogene "	misc RNA	Chromosome 5: 134517810-134518092forward strand	
ENSG00000277889	MIR8081	microRNA 8081 	miRNA	Chromosome 9: 106600928-106601022forward strand	
ENSG00000216902	AL122016.1	ribosomal protein L31 (RPL31) pseudogene	processed pseudogene	Chromosome 6: 85257328-85257694forward strand	
ENSG00000265875	-	-	-	-	-
ENSG00000237666	AC097527.1	pseudogene similar to part of anaphase promoting complex subunit 1 ANAPC1	unprocessed pseudogene	Chromosome 2: 106470799-106477669reverse strand	
ENSG00000161896	IP6K3	inositol hexakisphosphate kinase 3 	protein coding	Chromosome 6: 33721662-33746905reverse strand	
ENSG00000254672	AL136146.1	WEE1 homolog (S. pombe) (WEE1) pseudogene	processed pseudogene	Chromosome 11: 35967010-35968676reverse strand	
ENSG00000143033	MTF2	metal response element binding transcription factor 2 	protein coding	Chromosome 1: 93079235-93139079forward strand	
ENSG00000256150	ITFG2-AS1	ITFG2 antisense RNA 1 	lncRNA	Chromosome 12: 2695765-2812902reverse strand	
ENSG00000106410	NOBOX	NOBOX oogenesis homeobox 	protein coding	Chromosome 7: 144397240-144410227reverse strand	
ENSG00000259956	RBM15B	RNA binding motif protein 15B 	protein coding	Chromosome 3: 51391285-51397908forward strand	
ENSG00000150773	PIH1D2	PIH1 domain containing 2 	protein coding	Chromosome 11: 112063218-112074274reverse strand	
ENSG00000227958	AL390778.1	novel transcript	lncRNA	Chromosome 9: 135204722-135237597reverse strand	
ENSG00000267083	KRT18P61	keratin 18 pseudogene 61 	processed pseudogene	Chromosome 17: 60810165-60811462forward strand	
ENSG00000274335	-	-	-	-	-
ENSG00000259847	LINC02126	long intergenic non-protein coding RNA 2126 	lncRNA	Chromosome 16: 65141751-65176713reverse strand	
ENSG00000226668	AL136981.1	"pseudogene similar to family with sequence similarity 75, member A1"	transcribed unprocessed pseudogene	Chromosome 9: 92882567-92899608forward strand	
ENSG00000268140	PCGF7P	polycomb group ring finger 7 pseudogene 	processed pseudogene	Chromosome 19: 22137931-22138981forward strand	
ENSG00000278987	AL031009.1	TEC	TEC	Chromosome 16: 1688355-1690536forward strand	
ENSG00000250006	AC008638.2	developmental pluripotency associated 2 (DPPA2) pseudogene	processed pseudogene	Chromosome 4: 77311397-77312111reverse strand	
ENSG00000236313	VN1R53P	vomeronasal 1 receptor 53 pseudogene 	processed pseudogene	Chromosome 10: 37348616-37349572forward strand	
ENSG00000273085	OR52E1	olfactory receptor family 52 subfamily E member 1 (gene/pseudogene) 	polymorphic pseudogene	Chromosome 11: 5069572-5070497forward strand	
ENSG00000260729	AC009690.1	novel protein	protein coding	Chromosome 15: 72284727-72375981reverse strand	
ENSG00000205362	MT1A	metallothionein 1A 	protein coding	Chromosome 16: 56638666-56640087forward strand	
ENSG00000245667	AC006064.1	novel transcript	lncRNA	Chromosome 12: 6543504-6544931forward strand	
ENSG00000203818	-	-	-	-	-
ENSG00000258517	AC004817.1	novel transcript	lncRNA	Chromosome 14: 71212633-71218216forward strand	
ENSG00000254768	AC104009.1	novel transcript	lncRNA	Chromosome 11: 22283730-22338245reverse strand	
ENSG00000202050	RNU6-391P	"RNA, U6 small nuclear 391, pseudogene "	snRNA	Chromosome 6: 24365651-24365754forward strand	
ENSG00000259799	-	-	-	-	-
ENSG00000230533	AL356234.2	novel transcript	lncRNA	Chromosome 6: 137657998-137763984forward strand	
ENSG00000196296	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 	protein coding	Chromosome 16: 28878405-28904466forward strand	
ENSG00000270457	AC093424.1	novel transcript	lncRNA	Chromosome 1: 59289303-59289640reverse strand	
ENSG00000230481	IGKV1OR22-5	immunoglobulin kappa variable 1/OR22-5 (pseudogene) 	IG V pseudogene	Chromosome 22: 16904219-16904696reverse strand	
ENSG00000252861	RNU6-448P	"RNA, U6 small nuclear 448, pseudogene "	snRNA	Chromosome 5: 84196883-84196989forward strand	
ENSG00000231952	DPY19L1P2	DPY19L1 pseudogene 2 	unprocessed pseudogene	Chromosome 7: 32812757-32838570forward strand	
ENSG00000280956	-	-	-	-	-
ENSG00000205331	OR6C72P	olfactory receptor family 6 subfamily C member 72 pseudogene 	unprocessed pseudogene	Chromosome 12: 55283750-55284641forward strand	
ENSG00000279123	AC027281.1	novel transcript	TEC	Chromosome 16: 70778433-70779145forward strand	
ENSG00000206791	RNU1-129P	"RNA, U1 small nuclear 129, pseudogene "	snRNA	Chromosome 1: 148014417-148014583reverse strand	
ENSG00000109805	NCAPG	non-SMC condensin I complex subunit G 	protein coding	Chromosome 4: 17810979-17844865forward strand	
ENSG00000211978	IGHV5-78	immunoglobulin heavy variable 5-78 (pseudogene) 	IG V pseudogene	Chromosome 14: 106851123-106851417reverse strand	
ENSG00000212039	-	-	-	-	-
ENSG00000203780	FANK1	fibronectin type III and ankyrin repeat domains 1 	protein coding	Chromosome 10: 125896564-126009592forward strand	
ENSG00000111641	NOP2	NOP2 nucleolar protein 	protein coding	Chromosome 12: 6556863-6568691reverse strand	
ENSG00000221923	ZNF880	zinc finger protein 880 	protein coding	Chromosome 19: 52369917-52385795forward strand	
ENSG00000163975	MELTF	melanotransferrin 	protein coding	Chromosome 3: 196988621-197029817reverse strand	
ENSG00000239893	ZNF736P9Y	"zinc finger protein 736 pseudogene 9, Y-linked "	transcribed processed pseudogene	Chromosome Y: 8068445-8126293reverse strand	
ENSG00000127329	PTPRB	protein tyrosine phosphatase receptor type B 	protein coding	Chromosome 12: 70515870-70637440reverse strand	
ENSG00000257815	PRANCR	progenitor renewal associated non-coding RNA 	lncRNA	Chromosome 12: 69901918-70243379reverse strand	
ENSG00000262358	AC116914.1	"Novel protein, antisense to ITGAE"	lncRNA	Chromosome 17: 3729361-3730493forward strand	
ENSG00000250594	RNF14P2	RNF14 pseudogene 2 	processed pseudogene	Chromosome 4: 110264865-110265017reverse strand	
ENSG00000077044	DGKD	diacylglycerol kinase delta 	protein coding	Chromosome 2: 233354494-233472104forward strand	
ENSG00000263570	-	-	-	-	-
ENSG00000143183	TMCO1	transmembrane and coiled-coil domains 1 	protein coding	Chromosome 1: 165724293-165827755reverse strand	
ENSG00000229941	PDE11A-AS1	PDE11A antisense RNA 1 	lncRNA	Chromosome 2: 177653419-177723289forward strand	
ENSG00000279455	AC117500.5	novel transcript	TEC	Chromosome 12: 131620178-131620765reverse strand	
ENSG00000108774	RAB5C	"RAB5C, member RAS oncogene family "	protein coding	Chromosome 17: 42124978-42155044reverse strand	
ENSG00000125522	NPBWR2	neuropeptides B and W receptor 2 	protein coding	Chromosome 20: 64105820-64107171reverse strand	
ENSG00000183696	UPP1	uridine phosphorylase 1 	protein coding	Chromosome 7: 48088628-48108736forward strand	
ENSG00000273826	-	-	-	-	-
ENSG00000228318	AP001610.2	novel transcript	lncRNA	Chromosome 21: 41441056-41445708reverse strand	
ENSG00000275261	-	-	-	-	-
ENSG00000212025	-	-	-	-	-
ENSG00000279874	AC064859.1	TEC	TEC	Chromosome 2: 123850522-123850695reverse strand	
ENSG00000269680	AC008760.1	"novel transcript, antisense to TRIP10"	lncRNA	Chromosome 19: 6748293-6751467reverse strand	
ENSG00000279859	AC093323.2	TEC	TEC	Chromosome 4: 6691995-6692970reverse strand	
ENSG00000222129	RNA5SP36	"RNA, 5S ribosomal pseudogene 36 "	rRNA pseudogene	Chromosome 13: 94651397-94651529reverse strand	
ENSG00000225758	RPS17P17	ribosomal protein S17 pseudogene 17 	processed pseudogene	Chromosome X: 140470866-140471274reverse strand	
ENSG00000269113	TRABD2B	TraB domain containing 2B 	protein coding	Chromosome 1: 47760528-47997385reverse strand	
ENSG00000231302	RPL36P2	ribosomal protein L36 pseudogene 2 	processed pseudogene	Chromosome 20: 50620763-50621077forward strand	
ENSG00000268442	AC073534.1	hepatitis A virus cellular receptor 1 (HAVCR1) pseudogene	processed pseudogene	Chromosome 19: 24162370-24163425reverse strand	
ENSG00000244031	RPS3AP17	RPS3A pseudogene 17 	processed pseudogene	Chromosome 4: 29962644-29963758reverse strand	
ENSG00000281158	-	-	-	-	-
ENSG00000268957	AC020914.3	"sialic acid binding Ig-like lectin 26, pseudogene"	unprocessed pseudogene	Chromosome 19: 51468360-51468636reverse strand	
ENSG00000231392	AC244157.1	Ig lambda chain V-II region pseudogene	unprocessed pseudogene	Chromosome 22: 22774529-22774691forward strand	
ENSG00000166126	AMN	amnion associated transmembrane protein 	protein coding	Chromosome 14: 102922663-102933596forward strand	
ENSG00000276289	KCNE1B	potassium voltage-gated channel subfamily E regulatory subunit 1B 	protein coding	Chromosome 21: 7816675-7829926reverse strand	
ENSG00000129451	KLK10	kallikrein related peptidase 10 	protein coding	Chromosome 19: 51012739-51020175reverse strand	
ENSG00000260000	AL133338.1	"novel transcript, antisense to ASCC3"	lncRNA	Chromosome 6: 100881471-100882987forward strand	
ENSG00000254312	MRPL57P7	mitochondrial ribosomal protein L57 pseudogene 7 	processed pseudogene	Chromosome 8: 98906260-98906517reverse strand	
ENSG00000259981	AF096876.1	novel transcript	lncRNA	Chromosome 21: 30089717-30097836forward strand	
ENSG00000117139	KDM5B	lysine demethylase 5B 	protein coding	Chromosome 1: 202724495-202808487reverse strand	
ENSG00000244025	KRTAP19-3	keratin associated protein 19-3 	protein coding	Chromosome 21: 30491462-30492013reverse strand	
ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1 	protein coding	Chromosome 1: 24356999-24416934reverse strand	
ENSG00000241057	AC004951.3	RAS p21 protein activator 4 (RASA4) pseudogene	transcribed unprocessed pseudogene	Chromosome 7: 43961590-43973323reverse strand	
ENSG00000135723	FHOD1	formin homology 2 domain containing 1 	protein coding	Chromosome 16: 67229387-67247481reverse strand	
ENSG00000080031	PTPRH	protein tyrosine phosphatase receptor type H 	protein coding	Chromosome 19: 55181247-55209506reverse strand	
ENSG00000168300	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 	protein coding	Chromosome 8: 51817575-51899186reverse strand	
ENSG00000234206	AL121957.1	novel transcript	lncRNA	Chromosome 6: 107509803-107511721reverse strand	
ENSG00000196772	OR14A16	olfactory receptor family 14 subfamily A member 16 	protein coding	Chromosome 1: 247814660-247824119reverse strand	
ENSG00000255531	NDUFS5P6	NADH:ubiquinone oxidoreductase subunit S5 pseudogene 6 	processed pseudogene	Chromosome 8: 67849044-67849338forward strand	
ENSG00000200693	U3	Small nucleolar RNA U3 	snoRNA	Chromosome 14: 63651296-63651499reverse strand	
ENSG00000268947	AC002128.1	novel transcript	lncRNA	Chromosome 19: 35262846-35264804forward strand	
ENSG00000231982	AC112907.2	MCF.2 cell line derived transforming sequence-like 2 (MCF2L2) pseudogene	unprocessed pseudogene	Chromosome 3: 186826549-186827337forward strand	
ENSG00000145451	GLRA3	glycine receptor alpha 3 	protein coding	Chromosome 4: 174636920-174829247reverse strand	
ENSG00000250420	AACSP1	acetoacetyl-CoA synthetase pseudogene 1 	transcribed unprocessed pseudogene	Chromosome 5: 178764861-178818435reverse strand	
ENSG00000227097	RPS28P7	ribosomal protein S28 pseudogene 7 	processed pseudogene	Chromosome 11: 82689559-82689768forward strand	
ENSG00000236764	COX7A2P2	cytochrome c oxidase subunit 7A2 pseudogene 2 	processed pseudogene	Chromosome 4: 96902801-96903050forward strand	
ENSG00000106125	MINDY4	MINDY lysine 48 deubiquitinase 4 	protein coding	Chromosome 7: 30771417-30892387forward strand	
ENSG00000076984	MAP2K7	mitogen-activated protein kinase kinase 7 	protein coding	Chromosome 19: 7903843-7914478forward strand	
ENSG00000234595	AC013733.2	novel transcript	lncRNA	Chromosome 2: 181683113-181685707forward strand	
ENSG00000232360	AP000281.2	novel transcript	lncRNA	Chromosome 21: 32844367-32849934reverse strand	
ENSG00000271824	SMIM32	small integral membrane protein 32 	protein coding	Chromosome 5: 136191468-136193162reverse strand	
ENSG00000218018	RBM38-AS1	RBM38 antisense RNA 1 	lncRNA	Chromosome 20: 57377140-57393062reverse strand	
ENSG00000133624	ZNF767P	"zinc finger family member 767, pseudogene "	transcribed unprocessed pseudogene	Chromosome 7: 149547154-149624752reverse strand	
ENSG00000253801	AC010376.1	"DnaJ (Hsp40) homolog, subfamily C, member 15 (DNAJC15) pseudogene"	processed pseudogene	Chromosome 5: 68087161-68087494reverse strand	
ENSG00000209082	MT-TL1	mitochondrially encoded tRNA-Leu (UUA/G) 1 	Mt tRNA	Chromosome MT: 3230-3304forward strand	
ENSG00000125843	AP5S1	adaptor related protein complex 5 subunit sigma 1 	protein coding	Chromosome 20: 3820524-3828838forward strand	
ENSG00000155974	GRIP1	glutamate receptor interacting protein 1 	protein coding	Chromosome 12: 66347431-67069162reverse strand	
ENSG00000243664	RPS29P12	ribosomal protein S29 pseudogene 12 	processed pseudogene	Chromosome 5: 180945756-180945907forward strand	
ENSG00000105053	VRK3	VRK serine/threonine kinase 3 	protein coding	Chromosome 19: 49976468-50025946reverse strand	
ENSG00000235976	H2BP8	H2B histone pseudogene 8 	processed pseudogene	Chromosome X: 101989481-101989872reverse strand	
ENSG00000267717	SRSF10P1	serine and arginine rich splicing factor 10 pseudogene 1 	processed pseudogene	Chromosome 18: 51158282-51159383reverse strand	
ENSG00000232002	LINC01880	long intergenic non-protein coding RNA 1880 	lncRNA	Chromosome 2: 242047695-242084233reverse strand	
ENSG00000221539	SNORD99	"small nucleolar RNA, C/D box 99 "	snoRNA	Chromosome 1: 28578749-28578822reverse strand	
ENSG00000279064	FP236315.1	novel transcript	lncRNA	Chromosome 21: 5707004-5709456reverse strand	
ENSG00000254920	AC027369.4	tripartite motif-containing pseudogene	unprocessed pseudogene	Chromosome 11: 48893256-48898703forward strand	
ENSG00000231378	NDUFAF4P4	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 4 	processed pseudogene	Chromosome 1: 174849667-174850168reverse strand	
ENSG00000257323	AC123904.2	cysteine-rich PDZ-binding protein (CRIPT) pseudogene	processed pseudogene	Chromosome 12: 74656561-74656860forward strand	
ENSG00000257364	VENTXP3	VENT homeobox pseudogene 3 	processed pseudogene	Chromosome 12: 74292324-74293096forward strand	
ENSG00000260286	ARMH2	armadillo like helical domain containing 2 	protein coding	Chromosome 6: 24797335-24798917reverse strand	
ENSG00000117394	SLC2A1	solute carrier family 2 member 1 	protein coding	Chromosome 1: 42925353-42958893reverse strand	
ENSG00000226235	LEMD1-AS1	LEMD1 antisense RNA 1 	lncRNA	Chromosome 1: 205373252-205387440forward strand	
ENSG00000261654	AL360270.2	"novel transcript, sense overlapping C1orf103"	lncRNA	Chromosome 1: 110936369-110942353reverse strand	
